filename,0_anomaly,0_cluster,0_cluster_length,0_cluster_height,0_cluster_gradient_tr,0_cluster_gradient_tl,3_anomaly,3_cluster,3_cluster_length,3_cluster_height,3_cluster_gradient_tr,3_cluster_gradient_tl,1_anomaly,1_cluster,1_cluster_length,1_cluster_height,1_cluster_gradient_tr,1_cluster_gradient_tl,4_anomaly,4_cluster,4_cluster_length,4_cluster_height,4_cluster_gradient_tr,4_cluster_gradient_tl,2_anomaly,2_cluster,2_cluster_length,2_cluster_height,2_cluster_gradient_tr,2_cluster_gradient_tl,11_anomaly,11_cluster,11_cluster_length,11_cluster_height,11_cluster_gradient_tr,11_cluster_gradient_tl,7_anomaly,7_cluster,7_cluster_length,7_cluster_height,7_cluster_gradient_tr,7_cluster_gradient_tl,10_anomaly,10_cluster,10_cluster_length,10_cluster_height,10_cluster_gradient_tr,10_cluster_gradient_tl,12_anomaly,12_cluster,12_cluster_length,12_cluster_height,12_cluster_gradient_tr,12_cluster_gradient_tl,5_anomaly,5_cluster,5_cluster_length,5_cluster_height,5_cluster_gradient_tr,5_cluster_gradient_tl,9_anomaly,9_cluster,9_cluster_length,9_cluster_height,9_cluster_gradient_tr,9_cluster_gradient_tl,6_anomaly,6_cluster,6_cluster_length,6_cluster_height,6_cluster_gradient_tr,6_cluster_gradient_tl,8_anomaly,8_cluster,8_cluster_length,8_cluster_height,8_cluster_gradient_tr,8_cluster_gradient_tl,16_anomaly,16_cluster,16_cluster_length,16_cluster_height,16_cluster_gradient_tr,16_cluster_gradient_tl,24_anomaly,24_cluster,24_cluster_length,24_cluster_height,24_cluster_gradient_tr,24_cluster_gradient_tl,19_anomaly,19_cluster,19_cluster_length,19_cluster_height,19_cluster_gradient_tr,19_cluster_gradient_tl,26_anomaly,26_cluster,26_cluster_length,26_cluster_height,26_cluster_gradient_tr,26_cluster_gradient_tl,21_anomaly,21_cluster,21_cluster_length,21_cluster_height,21_cluster_gradient_tr,21_cluster_gradient_tl,15_anomaly,15_cluster,15_cluster_length,15_cluster_height,15_cluster_gradient_tr,15_cluster_gradient_tl,14_anomaly,14_cluster,14_cluster_length,14_cluster_height,14_cluster_gradient_tr,14_cluster_gradient_tl,17_anomaly,17_cluster,17_cluster_length,17_cluster_height,17_cluster_gradient_tr,17_cluster_gradient_tl,18_anomaly,18_cluster,18_cluster_length,18_cluster_height,18_cluster_gradient_tr,18_cluster_gradient_tl,20_anomaly,20_cluster,20_cluster_length,20_cluster_height,20_cluster_gradient_tr,20_cluster_gradient_tl,25_anomaly,25_cluster,25_cluster_length,25_cluster_height,25_cluster_gradient_tr,25_cluster_gradient_tl,22_anomaly,22_cluster,22_cluster_length,22_cluster_height,22_cluster_gradient_tr,22_cluster_gradient_tl,13_anomaly,13_cluster,13_cluster_length,13_cluster_height,13_cluster_gradient_tr,13_cluster_gradient_tl,23_anomaly,23_cluster,23_cluster_length,23_cluster_height,23_cluster_gradient_tr,23_cluster_gradient_tl,30_anomaly,30_cluster,30_cluster_length,30_cluster_height,30_cluster_gradient_tr,30_cluster_gradient_tl,35_anomaly,35_cluster,35_cluster_length,35_cluster_height,35_cluster_gradient_tr,35_cluster_gradient_tl,32_anomaly,32_cluster,32_cluster_length,32_cluster_height,32_cluster_gradient_tr,32_cluster_gradient_tl,29_anomaly,29_cluster,29_cluster_length,29_cluster_height,29_cluster_gradient_tr,29_cluster_gradient_tl,31_anomaly,31_cluster,31_cluster_length,31_cluster_height,31_cluster_gradient_tr,31_cluster_gradient_tl,33_anomaly,33_cluster,33_cluster_length,33_cluster_height,33_cluster_gradient_tr,33_cluster_gradient_tl,28_anomaly,28_cluster,28_cluster_length,28_cluster_height,28_cluster_gradient_tr,28_cluster_gradient_tl,27_anomaly,27_cluster,27_cluster_length,27_cluster_height,27_cluster_gradient_tr,27_cluster_gradient_tl,36_anomaly,36_cluster,36_cluster_length,36_cluster_height,36_cluster_gradient_tr,36_cluster_gradient_tl,37_anomaly,37_cluster,37_cluster_length,37_cluster_height,37_cluster_gradient_tr,37_cluster_gradient_tl,34_anomaly,34_cluster,34_cluster_length,34_cluster_height,34_cluster_gradient_tr,34_cluster_gradient_tl,38_anomaly,38_cluster,38_cluster_length,38_cluster_height,38_cluster_gradient_tr,38_cluster_gradient_tl,39_anomaly,39_cluster,39_cluster_length,39_cluster_height,39_cluster_gradient_tr,39_cluster_gradient_tl,46_anomaly,46_cluster,46_cluster_length,46_cluster_height,46_cluster_gradient_tr,46_cluster_gradient_tl,42_anomaly,42_cluster,42_cluster_length,42_cluster_height,42_cluster_gradient_tr,42_cluster_gradient_tl,45_anomaly,45_cluster,45_cluster_length,45_cluster_height,45_cluster_gradient_tr,45_cluster_gradient_tl,41_anomaly,41_cluster,41_cluster_length,41_cluster_height,41_cluster_gradient_tr,41_cluster_gradient_tl,40_anomaly,40_cluster,40_cluster_length,40_cluster_height,40_cluster_gradient_tr,40_cluster_gradient_tl,44_anomaly,44_cluster,44_cluster_length,44_cluster_height,44_cluster_gradient_tr,44_cluster_gradient_tl,47_anomaly,47_cluster,47_cluster_length,47_cluster_height,47_cluster_gradient_tr,47_cluster_gradient_tl,43_anomaly,43_cluster,43_cluster_length,43_cluster_height,43_cluster_gradient_tr,43_cluster_gradient_tl
1416320.js,1.0,0,146.0,3.25,0.02226027397260274,-0.02226027397260274,1.0,3.0,32.0,2.5,0.078125,-0.078125,1.0,1,146.0,3.25,0.02226027397260274,-0.02226027397260274,1.0,4.0,13.0,0.25,0.019230769230769232,-0.019230769230769232,1.0,2.0,20.0,2.75,0.1375,-0.1375,,,,,,,1.0,7.0,101.0,2.0,0.019801980198019802,-0.019801980198019802,,,,,,,,,,,,,1.0,5.0,101.0,2.0,0.019801980198019802,-0.019801980198019802,1.0,9.0,101.0,2.0,0.019801980198019802,-0.019801980198019802,1.0,6.0,101.0,2.0,0.019801980198019802,-0.019801980198019802,1.0,8.0,101.0,2.0,0.019801980198019802,-0.019801980198019802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1428713.js,1.0,0,140.0,15.75,0.1125,-0.1125,,,,,,,1.0,1,168.0,15.0,0.08928571428571429,-0.08928571428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1436233.js,1.0,0,2.0,2.25,1.125,-1.125,,,,,,,1.0,1,359.0,5.5,0.01532033426183844,-0.01532033426183844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1463420.js,1.0,0,2.0,0.5,0.25,-0.25,,,,,,,1.0,1,359.0,15.75,0.04387186629526462,-0.04387186629526462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1486626.js,1.0,0,179.0,5.0,0.027932960893854747,-0.027932960893854747,,,,,,,1.0,1,178.0,5.0,0.028089887640449437,-0.028089887640449437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494273.js,1.0,0,21.0,1.25,0.05952380952380952,-0.05952380952380952,1.0,3.0,21.0,13.5,0.6428571428571429,-0.6428571428571429,1.0,1,8.0,0.0,0.0,-0.0,1.0,4.0,15.0,12.25,0.8166666666666667,-0.8166666666666667,1.0,2.0,4.0,6.0,1.5,-1.5,1.0,11.0,146.0,16.25,0.1113013698630137,-0.1113013698630137,1.0,7.0,8.0,3.25,0.40625,-0.40625,1.0,10.0,146.0,16.25,0.1113013698630137,-0.1113013698630137,1.0,12.0,85.0,13.0,0.15294117647058825,-0.15294117647058825,1.0,5.0,15.0,3.0,0.2,-0.2,1.0,9.0,85.0,13.0,0.15294117647058825,-0.15294117647058825,1.0,6.0,29.0,9.25,0.31896551724137934,-0.31896551724137934,1.0,8.0,85.0,13.0,0.15294117647058825,-0.15294117647058825,1.0,16.0,146.0,16.25,0.1113013698630137,-0.1113013698630137,1.0,24.0,85.0,13.0,0.15294117647058825,-0.15294117647058825,1.0,19.0,146.0,16.25,0.1113013698630137,-0.1113013698630137,1.0,26.0,146.0,16.25,0.1113013698630137,-0.1113013698630137,1.0,21.0,85.0,13.0,0.15294117647058825,-0.15294117647058825,1.0,15.0,146.0,16.25,0.1113013698630137,-0.1113013698630137,1.0,14.0,85.0,13.0,0.15294117647058825,-0.15294117647058825,1.0,17.0,85.0,13.0,0.15294117647058825,-0.15294117647058825,1.0,18.0,85.0,13.0,0.15294117647058825,-0.15294117647058825,1.0,20.0,146.0,16.25,0.1113013698630137,-0.1113013698630137,1.0,25.0,146.0,16.25,0.1113013698630137,-0.1113013698630137,1.0,22.0,146.0,16.25,0.1113013698630137,-0.1113013698630137,1.0,13.0,85.0,13.0,0.15294117647058825,-0.15294117647058825,1.0,23.0,85.0,13.0,0.15294117647058825,-0.15294117647058825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521771.js,1.0,0,11.0,1.5,0.13636363636363635,-0.13636363636363635,,,,,,,1.0,1,347.0,3.0,0.008645533141210375,-0.008645533141210375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001263.js,0.0,0,154.0,2.5,0.016233766233766232,-0.016233766233766232,,,,,,,0.0,1,205.0,2.5,0.012195121951219513,-0.012195121951219513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001948.js,0.0,0,115.0,1.25,0.010869565217391304,-0.010869565217391304,,,,,,,0.0,1,242.0,1.5,0.006198347107438017,-0.006198347107438017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007375.js,0.0,0,140.0,2.5,0.017857142857142856,-0.017857142857142856,,,,,,,0.0,1,219.0,3.25,0.014840182648401826,-0.014840182648401826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
