filename,-1_anomaly,-1_cluster,-1_bucket,-1_filtered,-1_cluster_length,-1_cluster_height,-1_cluster_gradient_tr,-1_cluster_gradient_tl,0_anomaly,0_cluster,0_bucket,0_filtered,0_cluster_length,0_cluster_height,0_cluster_gradient_tr,0_cluster_gradient_tl,4_anomaly,4_cluster,4_bucket,4_filtered,4_cluster_length,4_cluster_height,4_cluster_gradient_tr,4_cluster_gradient_tl,5_anomaly,5_cluster,5_bucket,5_filtered,5_cluster_length,5_cluster_height,5_cluster_gradient_tr,5_cluster_gradient_tl,1_anomaly,1_cluster,1_bucket,1_filtered,1_cluster_length,1_cluster_height,1_cluster_gradient_tr,1_cluster_gradient_tl,2_anomaly,2_cluster,2_bucket,2_filtered,2_cluster_length,2_cluster_height,2_cluster_gradient_tr,2_cluster_gradient_tl,3_anomaly,3_cluster,3_bucket,3_filtered,3_cluster_length,3_cluster_height,3_cluster_gradient_tr,3_cluster_gradient_tl,6_anomaly,6_cluster,6_bucket,6_filtered,6_cluster_length,6_cluster_height,6_cluster_gradient_tr,6_cluster_gradient_tl,7_anomaly,7_cluster,7_bucket,7_filtered,7_cluster_length,7_cluster_height,7_cluster_gradient_tr,7_cluster_gradient_tl,8_anomaly,8_cluster,8_bucket,8_filtered,8_cluster_length,8_cluster_height,8_cluster_gradient_tr,8_cluster_gradient_tl,9_anomaly,9_cluster,9_bucket,9_filtered,9_cluster_length,9_cluster_height,9_cluster_gradient_tr,9_cluster_gradient_tl,10_anomaly,10_cluster,10_bucket,10_filtered,10_cluster_length,10_cluster_height,10_cluster_gradient_tr,10_cluster_gradient_tl,12_anomaly,12_cluster,12_bucket,12_filtered,12_cluster_length,12_cluster_height,12_cluster_gradient_tr,12_cluster_gradient_tl,11_anomaly,11_cluster,11_bucket,11_filtered,11_cluster_length,11_cluster_height,11_cluster_gradient_tr,11_cluster_gradient_tl,13_anomaly,13_cluster,13_bucket,13_filtered,13_cluster_length,13_cluster_height,13_cluster_gradient_tr,13_cluster_gradient_tl,14_anomaly,14_cluster,14_bucket,14_filtered,14_cluster_length,14_cluster_height,14_cluster_gradient_tr,14_cluster_gradient_tl
1416320.js,1.0,-1.0,20.0,True,,,,,1.0,0,35.0,True,141.0,3.25,0.02304964539007092,-0.02304964539007092,,,,,,,,,,,,,,,,,1.0,1.0,2.0,True,32.0,2.5,0.078125,-0.078125,1.0,2.0,5.0,True,20.0,2.75,0.1375,-0.1375,1.0,3.0,14.0,True,105.0,2.0,0.01904761904761905,-0.01904761904761905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1428713.js,1.0,-1.0,14.0,True,,,,,1.0,0,28.0,True,94.0,15.0,0.1595744680851064,-0.1595744680851064,,,,,,,,,,,,,,,,,1.0,1.0,11.0,True,108.0,15.5,0.14351851851851852,-0.14351851851851852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1436233.js,,,,,,,,,1.0,0,7.0,True,359.0,6.0,0.016713091922005572,-0.016713091922005572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1463420.js,,,,,,,,,1.0,0,9.0,True,359.0,16.0,0.04456824512534819,-0.04456824512534819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1486626.js,,,,,,,,,1.0,0,29.0,True,359.0,6.0,0.016713091922005572,-0.016713091922005572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494273.js,1.0,-1.0,29.0,True,,,,,1.0,0,31.0,True,,,,,1.0,4.0,11.0,True,,,,,1.0,5.0,30.0,True,,,,,1.0,1.0,5.0,True,81.0,13.0,0.16049382716049382,-0.16049382716049382,1.0,2.0,28.0,True,,,,,1.0,3.0,23.0,True,,,,,1.0,6.0,14.0,True,,,,,1.0,7.0,11.0,True,,,,,1.0,8.0,26.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521771.js,,,,,,,,,1.0,0,31.0,True,359.0,6.0,0.016713091922005572,-0.016713091922005572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001263.js,,,,,,,,,0.0,0,32.0,True,359.0,3.5,0.009749303621169917,-0.009749303621169917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001948.js,,,,,,,,,0.0,0,33.0,True,359.0,1.5,0.004178272980501393,-0.004178272980501393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007375.js,,,,,,,,,0.0,0,10.0,True,359.0,4.25,0.011838440111420613,-0.011838440111420613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011083.js,,,,,,,,,0.0,0,20.0,True,359.0,3.0,0.008356545961002786,-0.008356545961002786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015896.js,,,,,,,,,0.0,0,32.0,True,327.0,5.75,0.017584097859327217,-0.017584097859327217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017547.js,,,,,,,,,0.0,0,11.0,True,359.0,2.25,0.006267409470752089,-0.006267409470752089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018183.js,,,,,,,,,0.0,0,9.0,True,359.0,3.5,0.009749303621169917,-0.009749303621169917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020314.js,,,,,,,,,0.0,0,8.0,True,359.0,2.25,0.006267409470752089,-0.006267409470752089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025150.js,,,,,,,,,0.0,0,14.0,True,359.0,4.0,0.011142061281337047,-0.011142061281337047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1026615.js,0.0,-1.0,19.0,True,,,,,0.0,0,30.0,True,,,,,0.0,4.0,29.0,True,,,,,0.0,5.0,15.0,True,,,,,0.0,1.0,1.0,True,,,,,0.0,2.0,3.0,True,,,,,0.0,3.0,24.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
